gen,cand,arm_ke,arm_kd,hand_ke,hand_kd,friction,object_mass,joint_armature,add_banana_2,add_apple_3,add_baseball_0,add_book_0,add_beige_brush_0,mean_add
10,2,690.89,96.964,8.0072,1.1314,0.71747,0.24216,0.032651,0.08278,0.11010,0.04881,0.03706,0.05778,0.06731
10,3,887.86,65.448,14.38,1.8079,0.79093,0.13463,0.016212,0.08212,0.11857,0.04788,0.04691,0.05823,0.07074
10,4,1162.1,88.452,11.289,1.6028,0.58826,0.30521,0.021634,0.08215,0.11013,0.04846,0.12618,0.05486,0.08436
10,5,1566.1,106.14,10.18,1.1261,0.71717,0.16985,0.020021,0.08270,0.11627,0.04948,0.03180,0.05642,0.06733
10,6,1003.6,48.979,6.2604,1.7276,0.88285,0.099002,0.017521,0.08341,0.11786,0.05278,0.08144,0.05797,0.07869
10,7,1267.5,80.189,10.604,1.2498,0.99717,0.21658,0.046402,0.08187,0.11067,0.05001,0.08408,0.05940,0.07721
11,0,905.56,76.232,9.6754,1.0116,0.62419,0.23524,0.050389,0.08199,0.11086,0.04833,0.08789,0.05850,0.07751
11,1,712.27,69.658,9.9584,1.0645,0.65941,0.13165,0.037497,0.08333,0.11833,0.04850,0.09818,0.05999,0.08167
11,2,1112.8,66.174,10.021,0.91589,1.4391,0.173,0.035975,0.08301,0.11970,0.04864,0.08284,0.05740,0.07832
11,3,673.08,134.36,9.5304,1.6887,0.87278,0.16144,0.012571,0.08256,0.11758,0.04890,0.03579,0.05979,0.06892
11,4,509.86,73.408,14.568,1.3123,0.78726,0.25566,0.0389,0.08212,0.10988,0.06805,0.03215,0.05516,0.06947
11,5,1069,137.87,19.921,1.5322,0.64893,0.23491,0.026696,0.08265,0.11065,0.04836,0.08423,0.05611,0.07640
11,6,884.89,88.137,10.063,1.1487,0.86137,0.16356,0.018055,0.08321,0.11914,0.06723,0.04617,0.05697,0.07455
11,7,892.46,75.614,5.2825,1.5409,0.50993,0.13467,0.011342,0.08169,0.11080,0.06971,0.03449,0.05858,0.07105
12,0,899.06,76.212,16.344,0.9168,1.1492,0.1583,0.013145,0.08217,0.11075,0.04857,0.12196,0.05889,0.08447
12,1,512.83,88.796,8.8306,2.0502,0.89072,0.21057,0.0099392,0.08410,0.10983,0.04891,0.03365,0.06072,0.06744
12,2,772.62,113.27,10.196,1.1907,0.78931,0.19452,0.031292,0.08281,0.11420,0.04839,0.03854,0.05966,0.06872
12,3,772.4,130.28,11.844,1.1526,1.1409,0.2048,0.018733,0.08199,0.11527,0.04834,0.08030,0.05955,0.07709
12,4,507.54,118.08,11.467,0.70722,1.1556,0.18923,0.021108,0.08240,0.11021,0.05568,0.04241,0.05532,0.06920
12,5,843.02,91.57,5.4084,2.2918,0.9914,0.13211,0.021431,0.08264,0.11072,0.04837,0.03493,0.05692,0.06672
12,6,657.98,129.23,9.1584,1.3856,0.79299,0.19336,0.014231,0.08392,0.11900,0.07436,0.03377,0.05865,0.07394
12,7,752.78,102.18,9.3661,1.5322,0.64676,0.10951,0.019439,0.08168,0.11091,0.06620,0.08819,0.05843,0.08108
13,0,1314.5,100,10.075,1.8691,0.65067,0.1826,0.013616,0.08203,0.11073,0.04862,0.03371,0.05825,0.06667
13,1,900.09,62.934,8.3452,0.7767,1.0998,0.21566,0.026968,0.08321,0.12002,0.04897,0.08364,0.05975,0.07912
13,2,749.05,98.005,10.549,1.7581,0.84242,0.17826,0.022905,0.08276,0.11447,0.04825,0.04495,0.06013,0.07011
13,3,1788.9,129.97,6.2431,2.4869,0.59469,0.10921,0.0096607,0.08210,0.11721,0.04914,0.04470,0.05883,0.07040
13,4,936.95,71.229,5.0382,2.7657,0.83214,0.13066,0.0081075,0.08230,0.10956,0.05382,0.08649,0.05538,0.07751
13,5,1650.5,95.259,6.0972,2.0759,1.1762,0.10524,0.013403,0.08272,0.11056,0.04845,0.08319,0.05680,0.07634
13,6,888.73,77.678,7.9088,1.0043,0.93552,0.23339,0.021437,0.08383,0.11888,0.05038,0.04904,0.05769,0.07196
13,7,531.93,73.343,7.3186,2.3243,0.80351,0.16201,0.012586,0.08171,0.11075,0.05279,0.03288,0.05767,0.06716
14,0,872.84,103.47,7.7984,1.7788,0.48452,0.21115,0.02232,0.08213,0.11060,0.04932,0.08505,0.05751,0.07692
14,1,815.46,122.7,13.29,1.6252,0.95307,0.16444,0.015822,0.08394,0.11796,0.05036,0.07660,0.06166,0.07810
14,2,1079.7,101.7,9.4264,2.5009,0.60156,0.18889,0.015513,0.08267,0.11652,0.04858,0.07148,0.05782,0.07541
14,3,923.6,65.084,7.5892,1.6186,0.61103,0.19529,0.012445,0.08203,0.11317,0.04899,0.03798,0.05867,0.06817
14,4,850.3,132.81,10.722,2.9188,0.65927,0.12771,0.01249,0.08239,0.11759,0.05130,0.03170,0.05514,0.06763
14,5,757.12,79.468,5.0024,1.7935,0.62289,0.12878,0.022513,0.08309,0.11080,0.05752,0.03466,0.05924,0.06906
14,6,920.21,59.349,12.512,2.1662,0.45889,0.17961,0.014541,0.08322,0.11996,0.05095,0.09354,0.05786,0.08110
14,7,885.71,68.308,5.754,1.9256,0.71108,0.16628,0.0099842,0.08156,0.10939,0.05621,0.08267,0.05800,0.07757
15,0,696.77,118.86,10.448,2.2596,0.70467,0.15208,0.012677,0.08204,0.11052,0.04876,0.03630,0.05834,0.06719
15,1,714.98,86.463,9.2812,1.6654,0.6558,0.10491,0.020438,0.08403,0.11856,0.04891,0.03744,0.06197,0.07018
15,2,808.11,111.04,10.68,2.4055,0.72755,0.10683,0.014355,0.08286,0.11149,0.04864,0.08416,0.05746,0.07692
15,3,837.37,119.01,5.0551,2.0833,0.5748,0.16309,0.011876,0.08218,0.11811,0.04885,0.03496,0.05900,0.06862
15,4,992.38,129.14,7.9434,1.306,0.57244,0.14071,0.014032,0.08229,0.11646,0.06091,0.03886,0.05501,0.07070
15,5,643.09,89.726,9.5524,3.5276,0.56592,0.093795,0.0078791,0.08306,0.11607,0.04834,0.09106,0.05747,0.07920
15,6,742.48,137.19,8.1206,3.0321,0.50724,0.18924,0.017843,0.08382,0.11609,0.06705,0.04067,0.05928,0.07338
15,7,564.54,120.58,8.5429,3.2989,0.50382,0.12779,0.012272,0.08164,0.10893,0.05001,0.03314,0.05871,0.06649
