gen,cand,arm_ke,arm_kd,hand_ke,hand_kd,friction,object_mass,joint_armature,add_apple_0,add_baseball_0,add_beige_brush_2,add_donut_0,add_coffee_tin_0,mean_add
9,1,16137,16.025,39.331,1.4247,0.20081,0.1107,0.091384,0.03273,0.00209,0.02733,0.05144,0.06927,0.03657
9,2,19963,49.12,37.712,4.4942,0.25014,0.30064,0.090795,0.03975,0.00209,0.04332,0.05300,0.12253,0.05214
9,3,8467.7,38.305,26.796,8.6587,0.20839,0.030031,0.054342,0.03199,0.00209,0.02965,0.05295,0.06178,0.03569
9,4,19841,82.459,5.1089,4.5323,0.23875,0.17409,0.011536,0.02487,0.00209,0.02898,0.04995,0.05008,0.03119
9,5,6804.5,24.433,6.5617,0.36839,0.73806,0.12783,0.038247,0.03018,0.00209,0.03242,0.05495,0.04218,0.03236
9,6,17570,66.29,13.915,1.6905,0.37283,0.14305,0.0062029,0.02870,0.00209,0.03009,0.05018,0.17446,0.05710
9,7,19858,33.279,39.631,3.8118,0.22444,0.1342,0.04774,1.00000,0.00209,0.02742,0.04930,0.08240,0.23224
10,0,19557,207.95,7.5287,7.3599,0.30215,0.085422,0.0031216,0.02958,0.00209,0.03212,0.05295,0.05023,0.03339
10,1,8152.2,69.678,5.7136,10.022,0.27759,0.16355,0.0677,0.03245,0.00209,0.03177,0.05160,0.05049,0.03368
10,2,6107.4,41.626,5.3544,0.48345,0.39981,0.47358,0.09962,0.03404,0.00209,0.03347,0.05231,0.04606,0.03360
10,3,15585,193.14,17.104,2.5594,0.36667,0.063149,0.017273,0.03345,0.00209,0.03119,0.05257,0.05008,0.03388
10,4,11989,19.314,5.6809,3.9989,0.53909,0.14064,0.094975,0.02571,0.00209,0.03089,0.04961,0.07465,0.03659
10,5,14857,52.507,11.131,3.1142,0.20598,0.16626,0.016909,0.02744,0.00209,0.03020,0.05259,0.05028,0.03252
10,6,8067.1,398.76,15.059,1.1309,0.25317,0.26219,0.01035,0.02772,0.00209,0.03046,0.04996,0.04643,0.03133
10,7,7454.1,36.64,26.829,0.61709,1.6463,0.26141,0.032488,1.00000,0.00209,0.02812,0.04914,0.08820,0.23351
11,0,18235,59.599,9.6891,0.7906,0.83721,0.074528,0.093917,0.03410,0.00209,0.04727,0.05497,0.06942,0.04157
11,1,13824,30.531,5.8205,1.9573,0.82301,0.10919,0.016207,0.03330,0.00209,0.02687,0.05144,0.06386,0.03551
11,2,16307,105.54,19.891,0.58089,0.45471,0.045426,0.010857,0.03346,0.00209,0.04141,0.07882,0.04858,0.04087
11,3,15007,355.38,5.0041,11.866,0.63774,0.61461,0.0025793,0.03015,0.00209,0.03001,0.05388,0.14434,0.05210
11,4,6954.6,23.012,6.3282,1.6328,0.20268,0.13207,0.08476,0.02504,0.00209,0.02883,0.04951,0.04701,0.03050
11,5,7528.3,492.24,6.5619,1.7173,0.35506,0.90286,0.033441,0.02600,0.00209,0.03484,0.05526,0.04661,0.03296
11,6,18831,174.07,5.0485,2.0643,0.22114,0.31347,0.0034446,0.02513,0.00209,0.02882,0.04978,0.11171,0.04351
11,7,14857,219.42,93.164,7.8764,0.55672,0.16291,0.0011022,1.00000,0.00209,0.02699,0.04926,0.95151,0.40597
12,0,19969,16.877,38.794,8.6636,0.71149,0.099893,0.055126,0.03203,0.00209,0.04422,0.05689,0.08746,0.04454
